DB        6.00   38000. -10.0000  0.6707 -0.0384 u' 
DB        6.00   39000. -10.0000  0.7303 -0.0439 u' 
DB        6.00   40000. -10.0000  0.8001 -0.0506 u' 
DB        6.50   10000. -10.0000  0.9300 -0.0026 u' 
DB        6.50   11000. -10.0000  0.8476 -0.0015 u' 
DB        6.50   12000. -10.0000  0.7714 -0.0009 u' 
DB        6.50   13000. -10.0000  0.7078 -0.0004 u' 
DB        6.50   14000. -10.0000  0.6544 -0.0001 u' 
DB        6.50   15000. -10.0000  0.6075  0.0006 u' 
DB        6.50   16000. -10.0000  0.5617  0.0021 u' 
DB        6.50   17000. -10.0000  0.5116  0.0050 u' 
DB        6.50   18000. -10.0000  0.4359  0.0127 u' 
DB        6.50   19000. -10.0000  0.2818  0.0358 u' 
DB        6.50   20000. -10.0000  0.1463  0.0567 u' 
DB        6.50   21000. -10.0000  0.1763  0.0485 u' 
DB        6.50   22000. -10.0000  0.3301  0.0221 u' 
DB        6.50   23000. -10.0000  0.4473  0.0016 u' 
DB        6.50   24000. -10.0000  0.4695 -0.0060 u' 
DB        6.50   25000. -10.0000  0.4704 -0.0078 u' 
DB        6.50   26000. -10.0000  0.4694 -0.0086 u' 
DB        6.50   27000. -10.0000  0.4689 -0.0091 u' 
DB        6.50   28000. -10.0000  0.4702 -0.0097 u' 
DB        6.50   29000. -10.0000  0.4744 -0.0104 u' 
DB        6.50   30000. -10.0000  0.4786 -0.0112 u' 
DB        6.50   31000. -10.0000  0.4836 -0.0123 u' 
DB        6.50   32000. -10.0000  0.4930 -0.0135 u' 
DB        6.50   33000. -10.0000  0.5046 -0.0153 u' 
DB        6.50   34000. -10.0000  0.5191 -0.0176 u' 
DB        6.50   35000. -10.0000  0.5382 -0.0202 u' 
DB        6.50   36000. -10.0000  0.5618 -0.0233 u' 
DB        6.50   37000. -10.0000  0.5909 -0.0267 u' 
DB        6.50   38000. -10.0000  0.6263 -0.0305 u' 
DB        6.50   39000. -10.0000  0.6698 -0.0349 u' 
DB        6.50   40000. -10.0000  0.7193 -0.0405 u' 
DB        7.00   10000. -10.0000  0.9341 -0.0022 u' 
DB        7.00   11000. -10.0000  0.8508 -0.0009 u' 
DB        7.00   12000. -10.0000  0.7741  0.0003 u' 
DB        7.00   13000. -10.0000  0.7099  0.0009 u' 
DB        7.00   14000. -10.0000  0.6566  0.0016 u' 
DB        7.00   15000. -10.0000  0.6111  0.0023 u' 
DB        7.00   16000. -10.0000  0.5683  0.0035 u' 
DB        7.00   17000. -10.0000  0.5280  0.0054 u' 
DB        7.00   18000. -10.0000  0.4819  0.0091 u' 
DB        7.00   19000. -10.0000  0.4036  0.0182 u' 
DB        7.00   20000. -10.0000  0.2599  0.0410 u' 
DB        7.00   21000. -10.0000  0.1478  0.0590 u' 
DB        7.00   22000. -10.0000  0.1716  0.0540 u' 
DB        7.00   23000. -10.0000  0.2943  0.0321 u' 
DB        7.00   24000. -10.0000  0.4126  0.0121 u' 
DB        7.00   25000. -10.0000  0.4553  0.0017 u' 
DB        7.00   26000. -10.0000  0.4623 -0.0032 u' 
DB        7.00   27000. -10.0000  0.4638 -0.0042 u' 
DB        7.00   28000. -10.0000  0.4650 -0.0048 u' 
DB        7.00   29000. -10.0000  0.4674 -0.0060 u' 
DB        7.00   30000. -10.0000  0.4710 -0.0051 u' 
DB        7.00   31000. -10.0000  0.4766 -0.0077 u' 
DB        7.00   32000. -10.0000  0.4824 -0.0056 u' 
DB        7.00   33000. -10.0000  0.4888 -0.0099 u' 
DB        7.00   34000. -10.0000  0.4988 -0.0075 u' 
DB        7.00   35000. -10.0000  0.5120 -0.0133 u' 
DB        7.00   36000. -10.0000  0.5288 -0.0118 u' 
DB        7.00   37000. -10.0000  0.5512 -0.0186 u' 
DB        7.00   38000. -10.0000  0.5805 -0.0191 u' 
DB        7.00   39000. -10.0000  0.6180 -0.0264 u' 
DB        7.00   40000. -10.0000  0.6599 -0.0294 u' 
DB        7.50   10000. -10.0000  0.9372 -0.0019 u' 
DB        7.50   11000. -10.0000  0.8556 -0.0007 u' 
DB        7.50   12000. -10.0000  0.7779  0.0006 u' 
DB        7.50   13000. -10.0000  0.7125  0.0015 u' 
DB        7.50   14000. -10.0000  0.6597  0.0025 u' 
DB        7.50   15000. -10.0000  0.6158  0.0033 u' 
DB        7.50   16000. -10.0000  0.5760  0.0046 u' 
DB        7.50   17000. -10.0000  0.5390  0.0062 u' 
DB        7.50   18000. -10.0000  0.5021  0.0088 u' 
DB        7.50   19000. -10.0000  0.4557  0.0130 u' 
DB        7.50   20000. -10.0000  0.3811  0.0232 u' 
DB        7.50   21000. -10.0000  0.2554  0.0443 u' 
DB        7.50   22000. -10.0000  0.1597  0.0606 u' 
DB        7.50   23000. -10.0000  0.1700  0.0595 u' 
DB        7.50   24000. -10.0000  0.2599  0.0430 u' 
DB        7.50   25000. -10.0000  0.3600  0.0252 u' 
DB        7.50   26000. -10.0000  0.4251  0.0116 u' 
