DB       5.50  24000.0 -10.0000  0.4658 -0.0506  0.0891 -0.0542  0.0000 0.645412E-03  0.9369 u' 
DB       5.50  25000.0 -10.0000  0.4720 -0.0737  0.1068 -0.0599  0.0000 0.697567E-03  0.9873 u' 
DB       5.50  26000.0 -10.0000  0.4778 -0.0962  0.1239 -0.0653  0.0000 0.751313E-03  1.0334 u' 
DB       5.50  27000.0 -10.0000  0.4857 -0.1245  0.1472 -0.0728  0.0000 0.807121E-03  1.0755 u' 
DB       5.50  28000.0 -10.0000  0.4929 -0.1496  0.1664 -0.0786  0.0000 0.865504E-03  1.1143 u' 
DB       5.50  29000.0 -10.0000  0.5015 -0.1801  0.1930 -0.0873  0.0000 0.926554E-03  1.1501 u' 
DB       5.50  30000.0 -10.0000  0.5118 -0.2151  0.2252 -0.0982  0.0000 0.990967E-03  1.1831 u' 
DB       5.50  31000.0 -10.0000  0.5254 -0.2586  0.2667 -0.1125  0.0000 0.105942E-02  1.2138 u' 
DB       5.50  32000.0 -10.0000  0.5432 -0.3122  0.3188 -0.1306  0.0000 0.113245E-02  1.2423 u' 
DB       5.50  33000.0 -10.0000  0.5658 -0.3776  0.3837 -0.1535  0.0000 0.121061E-02  1.2688 u' 
DB       5.50  34000.0 -10.0000  0.5956 -0.4593  0.4648 -0.1820  0.0000 0.129471E-02  1.2936 u' 
DB       5.50  35000.0 -10.0000  0.6321 -0.5559  0.5612 -0.2157  0.0001 0.138525E-02  1.3168 u' 
DB       5.50  36000.0 -10.0000  0.6743 -0.6640  0.6679 -0.2523  0.0001 0.148365E-02  1.3386 u' 
DB       5.50  37000.0 -10.0000  0.7228 -0.7831  0.7840 -0.2908  0.0001 0.159251E-02  1.3591 u' 
DB       5.50  38000.0 -10.0000  0.7785 -0.9162  0.9132 -0.3331  0.0001 0.171566E-02  1.3783 u' 
DB       5.50  39000.0 -10.0000  0.8457 -1.0780  1.0767 -0.3893  0.0001 0.185791E-02  1.3965 u' 
DB       5.50  40000.0 -10.0000  0.9280 -1.2893  1.3110 -0.4799  0.0001 0.202455E-02  1.4136 u' 
DB       6.00  10000.0 -10.0000  1.8000 -1.9129  1.3582 -0.4035  0.0001 0.884217E-04 -1.0997 u' 
DB       6.00  11000.0 -10.0000  1.9538 -2.2760  1.7053 -0.5268  0.0000 0.123867E-03 -0.7571 u' 
DB       6.00  12000.0 -10.0000  1.9192 -2.1476  1.5262 -0.4526  0.0000 0.163809E-03 -0.4768 u' 
DB       6.00  13000.0 -10.0000  1.7542 -1.6844  0.9927 -0.2466  0.0001 0.207252E-03 -0.2439 u' 
DB       6.00  14000.0 -10.0000  1.3823 -0.7267 -0.0270  0.1321  0.0002 0.253318E-03 -0.0479 u' 
