step,q,iangle,r1,velocity_scale,chisq
127,1.34315,56.8825,0.114812,498.66,174.783
128,1.34315,56.8825,0.114812,498.66,174.783
129,1.34315,56.8825,0.114812,498.66,174.783
130,1.34315,56.8825,0.114812,498.66,174.783
131,1.34315,56.8825,0.114812,498.66,174.783
132,1.2937,58.1623,0.122529,480.055,171.284
133,1.24896,57.5607,0.121028,468.703,171.128
134,1.24896,57.5607,0.121028,468.703,171.128
135,1.24896,57.5607,0.121028,468.703,171.128
136,1.24896,57.5607,0.121028,468.703,171.128
137,1.24896,57.5607,0.121028,468.703,171.128
138,1.24896,57.5607,0.121028,468.703,171.128
139,1.24896,57.5607,0.121028,468.703,171.128
140,1.29257,57.2204,0.12218,475.46,170.538
141,1.29257,57.2204,0.12218,475.46,170.538
142,1.29257,57.2204,0.12218,475.46,170.538
143,1.29257,57.2204,0.12218,475.46,170.538
144,1.29257,57.2204,0.12218,475.46,170.538
145,1.29257,57.2204,0.12218,475.46,170.538
146,1.29257,57.2204,0.12218,475.46,170.538
147,1.29257,57.2204,0.12218,475.46,170.538
148,1.29715,57.9959,0.115332,489.282,174.868
149,1.29715,57.9959,0.115332,489.282,174.868
150,1.29715,57.9959,0.115332,489.282,174.868
151,1.29715,57.9959,0.115332,489.282,174.868
152,1.29715,57.9959,0.115332,489.282,174.868
153,1.29715,57.9959,0.115332,489.282,174.868
154,1.29715,57.9959,0.115332,489.282,174.868
155,1.29715,57.9959,0.115332,489.282,174.868
156,1.31884,57.672,0.115478,481.266,174.294
157,1.31884,57.672,0.115478,481.266,174.294
158,1.31884,57.672,0.115478,481.266,174.294
159,1.31884,57.672,0.115478,481.266,174.294
160,1.29031,58.0012,0.119843,500.399,170.58
161,1.29031,58.0012,0.119843,500.399,170.58
162,1.27786,57.9613,0.122772,515.652,171.137
163,1.27786,57.9613,0.122772,515.652,171.137
164,1.27786,57.9613,0.122772,515.652,171.137
165,1.27786,57.9613,0.122772,515.652,171.137
166,1.27786,57.9613,0.122772,515.652,171.137
